"Agency Name:","County of Court","Warrant Number","Submitted","Nature of the investigation","Primary Nature","Crime of Violence Options","Secondary Nature","Order Served on","Business Name","Items to be searched for:","Start Date for Info","End Date for Info","Grounds for Issuance","Reasons for Delay (if any)","Emergency?","Facts giving rise to the emergency"
"Los Angeles Police Department","Los Angeles"," ","01/08/2020 - 23:44","Suspect one and two were friends and talked on the phone.  Suspect two fled to another country, and we are trying to idenfy his girlfriend, who was present for the shooting, in an attempt to find the gun and additional evidence.  ","Crime of Violence","Assault"," ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
","Mon, 2018-01-01","Thu, 2019-10-24","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"LA Impact ","Los Angeles","10528","01/09/2020 - 18:29","Illegal Narcotic Trafficking ","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
Location information
","Fri, 2019-03-08","Mon, 2019-04-08","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Montclair PD","San Bernardino","RASW192251","01/09/2020 - 20:38","Ongoing homicide investigation","Homicide"," "," ","Device Only"," ","Communications (email, text, voice mail, or other communication)","Wed, 2019-05-15","Fri, 2019-08-30","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Montclair PD","San Bernardino","RASW192252","01/09/2020 - 20:41","Ongoing homicide investigation.","Homicide"," "," ","Device Only"," ","Communications (email, text, voice mail, or other communication)","Wed, 2017-03-01","Thu, 2019-10-10","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Montclair PD","San Bernardino","RASW192253","01/09/2020 - 20:44","Ongoing homicide investigation.","Homicide"," "," ","Device Only"," ","Communications (email, text, voice mail, or other communication)","Mon, 2018-01-01","Thu, 2019-10-10","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Grass Valley Police Department","Nevada","4925","01/10/2020 - 15:54","Cell phone, ipad and computer search warrant regarding a butane honey oil lab. ","Narcotics"," "," ","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-01-01","Tue, 2019-12-17","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"tustin police department","Orange"," ","01/12/2020 - 15:59","Felony vandalism to a government building and vehicle is involved in a shooting near the facility ","Crime of Violence
felony vandalism 
","Robbery"," ","Device Only"," ","Location information","Sun, 2019-12-08","Sun, 2019-12-08","is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery"," ","No"," "
"Sacramento Sheriff's Department","Sacramento"," ","01/13/2020 - 09:17","PC 187 investigation","Homicide"," "," ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2019-12-01","Thu, 2020-01-02","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"San Mateo Police Department","San Mateo"," ","01/13/2020 - 11:43","robbery investigation","Crime of Violence","Robbery"," ","Business","Verizon, T-mobile, At&t, Sprint","tower dump","Tue, 2019-12-24","Sun, 2020-01-05","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"California Department of Corrections and Rehabilitation","Los Angeles","2378948","01/13/2020 - 13:52","Fugitive investigation to locate parolee-at-Large. ","Arrest/Warrant Fugitive"," "," ","Business","T-Mobile ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
","Tue, 2019-10-01","Thu, 2019-12-12","There is a warrant arrest the person.","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Office","Sacramento","20SW00061","01/13/2020 - 16:46","The search warrant was ordered sealed by the court.","Homicide"," "," ","Business","Google","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2017-01-01","Mon, 2019-10-21","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"LA IMPACT","Los Angeles"," ","01/13/2020 - 17:51","Narcotics","Narcotics"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","Tue, 2019-09-17","Tue, 2019-09-24","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Office","Sacramento"," ","01/14/2020 - 09:06"," felony child abuse investigation where electronics were taken from a previous search warrant of a resd with several transients were located inside.","Crime of Violence","Assault","Minors","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2019-10-23","Thu, 2020-01-09","was used as the means of committing a felony"," ","No"," "
"CDCR-OCS-FAT","Los Angeles","WC20S00021","01/14/2020 - 10:39","Fugitive investigation for Parolee at Large.","Arrest/Warrant Fugitive"," "," ","Device Only"," ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
","Thu, 2019-11-14","Mon, 2020-01-06","There is a warrant to arrest the person","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"CDCR-OCS-FAT","Los Angeles","WC19-S20559","01/14/2020 - 10:44","Fugitive was a Parolee at Large.","Arrest/Warrant Fugitive"," "," ","Business
Device Only
","T-Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
","Fri, 2019-11-01","Thu, 2019-12-05","There is a warrant to arrest the person","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"CDCR-OCS-FAT","Los Angeles","WC19-S20516","01/14/2020 - 10:52","Fugitive was a Parolee at Large","Arrest/Warrant Fugitive"," "," ","Business
Device Only
","T-Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
","Sun, 2019-09-15","Mon, 2019-11-25","There is a warrant to arrest the person","lead to flight from prosecution
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Riverside County Sheriff's Department","Riverside","SW010220203","01/14/2020 - 10:53","Refer to Search Warrant for residential burglary","Theft/Fraud"," "," ","Device Only"," ","Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
","Mon, 2019-11-25","Fri, 2019-11-29","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Sacramento Police Department","Sacramento"," ","01/14/2020 - 12:49","Search warrant was authorized for a cellular telephone belonging to the victim and phone records for both the victim and an identified suspect.","Crime of Violence","Robbery"," ","Business
Device Only
","T-Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2019-10-13","Thu, 2019-10-17","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Sacramento Police Department","Sacramento"," ","01/14/2020 - 15:52","Robbery where the victim was shot. The suspect was known to the victim. The search warrant includes the victim's telephone records and cellular telephone data as well as telephone records belonging to the suspect.","Crime of Violence","Robbery"," ","Business
Device Only
","T-Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2019-10-13","Thu, 2019-10-17","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Riverside County Sheriff's dept. ","Riverside","IN112220197","01/15/2020 - 10:12","Criminal investigation into stalking and identity theft. ","Stalking Identity Theft"," ","ID Theft","Device Only"," ","Basic subscriber information from a service provider","Thu, 2019-11-21","Sat, 2020-11-21","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution","No"," "
"Riverside County Sheriff's dept. ","Riverside","IN111920191","01/15/2020 - 10:22","STALKING AND IDENTITY THEFT ","STALKING IDENTITY THEFT"," ","ID Theft","Business
Device Only
","COM CAST","Basic subscriber information from a service provider","Tue, 2019-11-19","Thu, 2020-11-19","was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution","No"," "
"Los Gatos Police Department","Santa Clara"," ","01/15/2020 - 11:21","Commercial and residential burglaries","Theft/Fraud"," "," ","Device Only"," ","Location information","Sun, 2019-11-17","Sun, 2019-11-17","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual","No"," "
"Los Gatos Police Department","Santa Clara"," ","01/15/2020 - 11:24","Residential burglaries","Theft/Fraud"," "," ","Device Only"," ","Location information","Fri, 2019-07-19","Fri, 2019-08-02","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Los Angeles Police Department","Los Angeles"," ","01/15/2020 - 14:49","Suspect called in a bomb threat to LA Convention Center using VOIP app that registered with Gmail account. Search warrant to Google resulted in two IP addresses associated with Suspect's Gmail account.","Threats/Harassment"," "," ","Business","Verizon and Comcast Communications","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","Sun, 2019-12-01","Mon, 2020-01-13","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Sacramento County Sheriff's Office","Sacramento","19SW00945","01/15/2020 - 16:19","The search warrant was ordered sealed by the court. ","Homicide"," "," ","Business","Facebook","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Thu, 2018-03-01","Sat, 2018-09-01","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Dept","Sacramento","19SW00945","01/15/2020 - 16:21","The search warrant was ordered sealed by the court. ","Homicide"," "," ","Business","Facebook ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Thu, 2018-03-01","Sat, 2018-09-01","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Office","Sacramento","19SW00741","01/15/2020 - 16:23","The search warrant was ordered sealed by the court. ","Homicide"," "," ","Business","Google","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2018-01-01","Thu, 2019-03-14","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento Sheriff's Office","Sacramento"," ","01/17/2020 - 16:55","Child endangerment investigation ","Child endangerment"," ","Minors","Device Only"," ","Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2018-08-07","Fri, 2020-01-10","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Santa Clara County Sheriff's Office","Santa Clara","CSW57237","01/17/2020 - 17:03","Female subject contacted the communications center for the Santa Clara County Sheriff's Office and admitted to cutting herself, then went silent, cell phone was pinged to locate subject and render emergency aid, phone's location was determined to be in the City of Chico, CA, Chico PD was notified and they responded to the location to administer aid","cell phone ping to locate suicidal subject"," "," ","Residence"," ","Location information","Wed, 2020-01-15","Wed, 2020-01-15","to administer emergency aid to suicidal subject"," ","Yes","Suicidal subject who admitted to cutting herself and then stopped answering questions, call taker feared the female subject went unconscious, cell phone was pinged in order to direct emergency aid to the female subject's location which was determined to be in Chico CA"
"San Bernardino Police Department","San Bernardino"," ","01/21/2020 - 10:08","Members of the Pimps, Players, Hustlers Gangster Crip Criminal Street Gang were found in illegal possession of a firearm.","Firearms/Gangs"," ","Gang Related","Device Only"," ","Stored files (picture, documents, or other files)","Wed, 2018-08-15","Wed, 2019-12-18","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence","No"," "
"CHICO POLICE DEPARTMENT","Butte","BSW20-024","01/21/2020 - 15:11","CELL PHONE WAS DROPPED AT THE SCENE OF THE ROBBERY BY ONE OF THE THREE SUSPECTS. WARRANT OBTAINED TO SEARCH FOR IDENTITY OF OWNER AND FOR EVIDENCE OF ROBBERY. WARRANT OBTAINED BY DETECTIVE BASS IN 2018.","Crime of Violence
Theft/Fraud
","Robbery"," ","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
","Sun, 2018-04-01","Fri, 2018-05-04","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","endanger the life or physical safety of an individual","No"," "
"Mountain View Police Department / REACT Task Force","Santa Clara","CSW55304","01/21/2020 - 16:50","4.	The Search Warrant was issued as part of an investigation regarding the fraudulent purchase of Samsung phones through Samsung’s online trade-in program","Theft/Fraud"," ","ID Theft","Business","AT&T Wireless","Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
","Wed, 2017-11-01","Fri, 2017-06-30","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"Mountain View Police Department / REACT Task Force","Santa Clara","CSW55304","01/21/2020 - 16:53","4.	The Search Warrant was issued as part of an investigation regarding the fraudulent purchase of Samsung phones through Samsung’s online trade-in program","Theft/Fraud"," ","ID Theft","Business","Verizon Wireless","Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
","Wed, 2017-11-01","Fri, 2017-06-30","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
